OBS.,ANSWERED,INCOME,FEMALE,AGE,JOB,NUM_DEPENDENTS,RENT,OWN_RES,NEW_CAR,CHK_ACCT,SAV_ACCT,NUM_ACCTS,MOBILE,PRODUCT
72577,1,7170,0,52,2,1,0,1,0,3,0,4,0,4
72831,0,26710,0,50,2,1,0,0,0,1,1,2,0,0
73004,1,20120,0,61,2,1,0,1,0,3,4,3,0,2
73299,1,77580,0,29,2,1,1,0,0,1,3,4,1,4
73487,1,7830,0,26,1,2,0,1,1,3,4,2,0,2
73511,1,12440,0,41,1,1,1,0,0,3,4,4,0,4
73804,1,30790,0,36,2,1,0,1,1,3,4,2,0,4
73919,1,73080,0,70,3,1,0,0,1,1,0,0,0,4
73979,1,7070,0,30,2,1,0,1,0,3,0,2,0,2
74620,0,39310,0,46,2,2,0,0,1,0,0,3,0,0
75078,0,6390,0,30,2,1,0,1,0,1,0,2,0,0
75504,1,26590,0,28,2,1,0,1,0,0,3,2,0,2
75519,1,36500,0,22,2,1,1,0,0,0,0,1,0,4
75957,0,90340,0,29,3,1,1,0,0,1,1,1,0,0
76102,1,26790,0,29,3,1,0,1,0,3,0,1,1,1
76795,0,29960,0,20,2,1,0,1,0,0,4,2,0,0
77010,1,30740,0,33,2,2,0,1,0,3,4,2,0,2
77201,0,67610,0,68,2,1,1,0,1,3,4,2,0,0
78969,0,42100,0,26,2,1,0,1,0,2,0,2,0,0
79540,1,19670,0,20,2,1,0,1,0,1,0,4,0,4
79703,0,9510,0,27,2,1,1,0,0,1,1,1,0,0
80073,0,12740,0,37,1,1,0,1,1,0,0,1,0,0
80384,1,38120,0,23,2,1,0,1,0,3,1,1,1,4
80411,0,26310,0,28,2,1,1,0,1,1,1,2,0,0
80828,1,32130,0,25,2,1,1,0,0,1,2,1,0,3
81827,0,19240,0,27,2,1,1,0,0,1,4,1,0,0
82302,0,86480,0,27,2,1,0,1,0,3,0,1,0,0
83619,0,42490,0,28,3,1,0,1,1,1,0,0,0,0
83818,1,33780,0,31,2,1,0,1,0,3,4,2,1,1
83899,0,19430,0,23,2,1,0,1,0,3,0,1,0,0
84268,1,29100,0,34,3,1,0,0,0,0,0,3,1,1
84631,1,20300,0,24,2,1,0,1,0,1,4,3,0,1
85062,0,11310,0,33,2,1,0,1,0,0,0,0,0,0
85968,1,32350,1,26,3,1,0,1,0,3,2,4,0,2
86295,0,6970,0,46,2,1,0,1,1,0,0,1,0,0
86415,1,30170,0,34,3,1,1,0,0,1,0,1,0,1
86801,1,51170,0,26,2,1,0,1,0,3,0,3,0,4
86839,1,61870,0,24,2,1,1,0,0,0,1,3,1,4
86904,0,42970,1,40,3,1,0,1,0,1,0,4,0,0
87130,1,34300,0,31,2,2,0,1,0,3,2,4,0,2
87392,0,95720,1,28,2,1,0,1,0,3,0,1,0,0
87393,1,36170,0,20,2,1,1,0,0,2,4,4,0,4
87522,1,29780,0,32,2,2,0,1,0,3,4,2,0,4
87549,0,30920,0,22,2,1,1,0,0,1,1,1,0,0
87757,0,9020,0,21,2,1,1,0,0,0,0,3,0,0
88837,0,51290,0,74,3,2,0,0,0,1,0,4,1,0
88958,0,6090,0,26,0,1,0,1,0,2,0,1,0,0
89257,0,14840,0,25,2,1,0,1,0,1,4,2,0,0
89303,0,19870,0,21,1,2,1,0,0,0,0,2,0,0
89385,0,143180,0,57,3,1,0,0,1,1,0,4,0,0
89503,0,24730,0,25,0,1,0,1,0,0,0,0,0,0
89971,1,6180,0,56,2,1,0,1,0,3,0,4,0,4
90309,0,27460,0,31,2,1,0,1,0,0,0,4,0,0
90327,0,11880,0,39,2,2,0,1,0,1,0,4,0,0
90738,1,15330,0,38,2,1,0,1,0,3,0,1,0,3
91605,1,19630,0,31,3,2,1,0,0,3,0,3,0,2
91625,0,8840,0,36,2,2,0,1,1,1,0,4,0,0
91755,0,11360,0,32,2,2,0,0,0,1,3,4,0,0
91781,1,37580,0,23,0,1,1,0,0,1,2,0,0,4
92393,1,62600,0,28,1,1,1,0,1,1,0,3,0,3
93018,1,22410,0,48,1,2,1,0,1,0,0,1,0,3
93789,0,49330,0,25,2,1,0,1,0,1,0,3,0,0
94204,0,9180,0,30,2,1,0,1,0,1,0,2,0,0
94418,1,23260,0,27,2,1,0,1,0,1,2,2,0,4
94511,1,107220,0,35,1,1,0,1,1,0,0,1,0,1
94674,1,8600,0,39,2,1,0,1,1,0,0,4,0,4
95126,0,79800,0,27,2,1,1,0,0,3,4,1,0,0
95508,0,101270,0,44,2,1,0,0,1,3,2,2,0,0
95637,0,115600,0,23,3,1,1,0,0,1,0,2,1,0
95653,1,17430,0,34,1,1,0,1,0,3,1,2,0,2
96333,1,18870,0,28,2,1,0,1,0,1,4,2,0,4
96801,1,23230,0,24,2,1,1,0,0,1,0,3,0,4
96886,1,78820,0,45,2,2,0,0,0,0,0,3,0,4
96958,1,14490,1,31,2,2,0,1,0,1,1,4,0,2
97346,1,29780,0,32,2,1,0,1,0,3,2,2,0,2
97903,1,72280,0,39,1,1,0,1,1,3,0,2,0,4
98109,1,10530,0,27,2,1,0,1,0,0,0,1,0,2
98534,1,21320,0,27,2,1,1,0,0,0,4,1,0,3
98583,0,71190,0,53,2,2,0,0,0,0,0,2,0,0
98620,1,13640,0,64,2,1,0,1,1,3,0,2,0,4
98667,0,17780,0,26,0,1,1,0,1,1,0,1,0,0
98851,1,23330,0,29,1,1,0,1,0,1,4,1,0,2
99047,0,12710,0,39,2,1,0,0,0,2,4,2,0,0
99922,1,7090,0,27,0,1,0,1,1,2,3,1,0,2
100211,1,27080,0,27,1,1,0,1,0,3,0,1,0,3
100438,0,13090,0,27,1,1,0,1,1,3,4,2,0,0
100685,0,19350,1,31,2,1,0,1,0,1,0,4,0,0
100780,1,44730,0,31,2,1,0,1,0,2,0,4,0,2
100814,0,64160,0,59,2,1,1,0,0,1,0,4,0,0
101922,1,7630,0,26,2,1,0,1,0,3,0,2,0,1
102366,0,13450,0,26,2,1,0,1,0,0,0,2,0,0
102512,0,7450,0,28,1,1,0,1,0,2,0,2,0,0
102914,1,12040,0,35,2,1,1,0,1,3,1,2,0,1
103066,0,47460,0,25,1,1,0,1,0,1,0,1,0,0
103204,1,15440,0,42,1,2,0,1,0,3,0,3,0,1
103281,1,30010,0,40,2,1,1,0,0,1,0,3,0,4
103371,0,72970,0,36,2,1,1,0,0,0,0,4,0,0
103539,1,42720,0,26,1,1,0,1,0,3,1,2,0,2
103613,0,19530,0,61,3,1,0,0,0,1,0,4,0,0
103777,0,22350,0,33,2,1,1,0,1,0,0,2,0,0
104063,0,147820,0,60,3,1,0,0,0,1,1,4,0,0
104248,0,67580,0,31,2,1,0,1,0,0,0,2,0,0
105288,1,15370,0,50,2,1,0,1,0,1,4,4,0,4
106024,0,6260,0,24,1,1,0,1,0,0,0,2,0,0
106086,1,35730,0,23,1,1,0,1,0,1,0,2,0,1
106730,0,21500,0,24,2,1,0,1,1,1,0,2,0,0
107497,0,96290,0,24,2,1,0,1,0,0,0,3,1,0
108088,0,13720,1,36,2,1,0,1,1,0,0,3,0,0
108160,1,30590,1,61,1,1,0,1,0,3,3,3,0,4
108402,0,61990,0,28,2,1,1,0,0,0,0,2,0,0
108642,1,19190,0,35,2,1,1,0,0,1,0,3,0,3
108980,1,18600,0,34,3,1,0,1,0,1,0,0,1,2
109154,1,14590,0,43,1,1,0,1,0,3,0,2,0,2
109254,1,37770,0,50,2,1,0,1,0,3,3,2,0,4
109426,0,12160,0,23,2,1,1,0,1,0,0,1,0,0
110057,1,18810,0,44,1,1,1,0,0,2,0,2,0,2
110364,0,12170,0,47,1,1,0,1,0,0,0,2,0,0
110590,0,39660,0,33,2,1,1,0,1,0,0,4,0,0
110965,0,123890,0,37,2,1,0,0,1,1,4,2,0,0
110969,0,10240,0,48,2,1,0,1,0,0,0,1,0,0
110986,0,21240,0,24,2,1,1,0,0,0,0,2,0,0
111313,0,30600,0,28,2,1,0,1,0,1,0,3,0,0
111344,0,9590,0,29,2,1,0,1,0,1,0,2,0,0
111662,1,51520,0,25,2,1,0,1,0,2,0,3,0,2
111845,0,31900,0,24,2,1,0,1,0,0,0,2,0,0
112613,1,58480,0,24,2,1,0,1,0,2,0,2,0,1
113075,0,12230,1,46,2,1,1,0,1,1,0,4,0,0
113647,1,38780,1,37,2,1,0,1,1,1,1,1,0,2
113661,0,159450,0,58,2,1,1,0,0,1,0,1,0,0
113710,1,6720,0,54,0,1,0,1,1,3,0,0,0,4
113812,0,119380,0,39,3,2,0,1,0,1,0,2,0,0
113935,0,27620,0,25,2,1,0,1,0,1,4,4,0,0
114107,0,8020,0,37,2,2,0,1,0,1,0,4,0,0
114223,0,13370,0,34,3,1,0,1,0,2,0,1,0,0
114479,1,7270,0,46,2,1,0,0,0,3,2,4,0,4
115293,1,15210,1,31,1,1,0,1,0,1,0,2,0,2
115959,1,90550,0,35,1,2,0,0,0,3,4,2,0,4
116022,1,11260,0,21,2,1,1,0,0,3,4,1,0,2
117178,1,39130,0,23,2,1,0,1,0,2,0,2,0,2
117738,0,64680,0,52,3,1,0,1,0,1,4,0,0,0
118213,1,22490,0,30,3,2,0,1,1,0,1,3,0,3
118224,1,22380,0,25,2,1,0,1,0,3,0,2,0,1
118691,1,13600,0,31,2,1,0,1,0,3,0,2,0,2
119364,0,113280,0,29,3,1,0,1,0,1,0,2,0,0
119405,1,86130,0,27,2,1,0,1,0,3,3,2,1,2
119636,1,14690,0,41,1,1,1,0,1,3,1,4,0,4
120084,1,101440,0,21,2,1,0,1,0,3,1,3,0,4
120889,1,77210,0,30,2,1,0,1,0,0,4,1,0,2
120933,0,69990,0,34,2,1,0,1,0,0,0,3,0,0
121293,0,24620,0,22,2,1,0,1,0,0,0,2,0,0
121668,0,32340,0,23,1,1,1,0,0,0,0,1,0,0
123155,1,31490,0,22,2,1,0,0,0,0,0,1,0,1
123280,1,34160,0,27,3,1,0,1,0,0,0,2,0,2
123521,0,20640,0,34,3,1,0,1,0,1,0,0,0,0
123888,1,14100,0,35,2,1,0,1,0,1,2,4,0,2
124187,0,11080,0,28,2,1,0,1,0,0,0,3,0,0
124338,1,24150,0,34,2,1,0,1,0,1,0,2,0,2
124563,0,83860,0,49,2,1,0,1,0,1,0,3,0,0
125074,1,47960,0,56,2,1,0,0,0,2,0,4,1,4
125078,1,4580,0,24,2,1,0,1,0,1,0,2,0,3
125138,0,93980,0,28,3,1,1,0,0,1,0,1,1,0
126767,0,30310,0,21,2,1,1,0,0,1,1,2,0,0
126904,0,46110,0,32,2,1,0,1,0,3,0,1,0,0
126949,1,11630,0,44,2,1,0,1,1,3,2,2,0,4
127373,1,13460,0,42,2,2,0,0,0,3,1,4,0,4
127446,1,27590,0,34,2,1,0,1,0,3,0,4,0,4
127455,0,9390,0,28,2,1,0,1,1,2,2,3,0,0
128356,0,148960,0,68,3,1,0,1,1,0,0,4,0,0
128359,0,102970,0,39,2,2,0,0,0,0,0,3,1,0
128510,0,115900,0,24,1,1,1,0,0,3,1,2,1,0
128548,1,10760,0,26,2,1,0,1,0,3,0,2,0,2
129032,1,14240,0,26,2,1,0,1,0,1,0,3,0,3
129203,1,26220,0,34,2,1,0,1,0,1,1,2,0,4
129203,0,22100,0,25,1,1,1,0,0,3,0,2,0,0
129621,0,15340,0,23,2,1,1,0,0,1,0,1,0,0
131292,0,13330,0,43,2,2,0,0,1,0,0,0,0,0
131488,0,25800,0,41,1,2,0,1,0,3,2,1,0,0
131745,0,16700,0,22,2,1,0,1,0,1,0,1,0,0
131791,0,140270,0,27,3,1,0,1,1,1,0,3,0,0
131907,0,36210,0,31,2,1,0,1,0,3,1,4,0,0
132106,1,27280,0,35,2,1,0,1,0,1,4,3,0,2
132202,1,31810,0,26,2,1,0,1,0,3,0,1,0,4
132250,0,23030,0,45,2,1,0,1,1,0,0,4,0,0
132337,0,18080,0,22,2,1,0,1,0,3,0,3,0,0
132338,1,31040,0,31,2,1,0,1,0,0,0,3,0,1
133730,0,68720,1,55,2,1,0,1,0,0,0,1,0,0
134201,0,44630,0,26,3,1,0,1,0,3,0,2,0,0
135851,0,125790,0,44,3,1,0,0,0,1,0,4,1,0
135878,1,57430,0,24,2,1,0,0,0,1,0,1,0,4
136066,1,33680,0,23,2,1,1,0,0,3,3,4,1,4
136822,1,43510,0,48,1,1,0,1,0,1,4,2,0,4
137104,1,46790,0,35,1,1,0,1,0,3,0,3,1,3
